Date,Time,Temp (°F),Feels Like (°F),Humidity (%),UV,Wind (mph),Gusts (mph),Outer Clothing
01/28/2024,15:07,42,35,73%,1,13,27,coat
01/28/2024,22:02,36,28,79%,0,14,34,coat
01/29/2024,23:36,31,27,83%,0,4,12,coat
01/30/2024,20:39,38,36,76%,0,3,,coat
01/30/2024,23:15,37,35,82%,0,3,9,coat
01/31/2024,11:38,41,37,79%,2,6,14,coat
01/31/2024,14:17,43,39,69%,2,6,13,coat
02/04/2024,17:10,50,48,52%,0,3,6,coat
02/04/2024,22:16,38,37,70%,0,2,3,coat
02/06/2024,14:26,47,42,42%,2,9,17,coat
02/06/2024,22:15,33,30,64%,0,3,6,coat
02/07/2024,08:06,27,26,76%,0,3,4,coat
02/07/2024,13:55,51,48,36%,2,3,6,jacket-long
02/08/2024,15:10,56,54,43%,1,7,14,jacket-long
02/08/2024,17:25,52,41,50%,0,5,11,coat
02/09/2024,14:10,65,64,49%,2,7,14,jacket-long
02/09/2024,15:20,65,63,51%,1,8,15,jacket-long
02/10/2024,12:53,61,60,80%,3,7,17,jacket-long
02/11/2024,17:18,53,53,83%,0,2,6,jacket-long
02/11/2024,20:09,50,49,91%,0,3,8,coat
02/12/2024,09:11,48,47,93%,1,3,7,coat
02/13/2024,09:24,36,27,68%,1,16,37,coat
02/13/2024,09:52,37,27,63%,2,15,35,coat
02/13/2024,21:03,37,31,63%,0,9,25,coat
02/13/2024,22:32,37,30,65%,0,9,25,coat
02/14/2024,13:04,49,45,50%,4,12,28,coat
02/14/2024,14:15,50,48,51%,3,13,30,jacket-long
02/14/2024,17:26,48,44,57%,0,8,20,coat
02/14/2024,20:04,42,39,70%,0,4,10,coat
02/14/2024,22:30,39,37,73%,0,3,5,coat
02/14/2024,23:02,38,37,74%,0,2,5,coat
02/15/2024,12:19,53,51,51%,3,9,20,coat
02/15/2024,15:52,58,56,37%,1,16,34,coat
02/15/2024,18:04,53,51,50%,0,11,25,coat
02/15/2024,20:56,49,45,63%,0,9,23,coat
02/15/2024,23:01,47,43,70%,0,10,27,coat
02/16/2024,07:55,33,27,59%,0,6,16,coat
02/16/2024,08:36,34,29,55%,1,7,17,coat
02/17/2024,00:26,45,40,84%,0,11,25,coat
02/17/2024,13:51,33,23,54%,2,15,30,coat
02/17/2024,16:09,31,21,54%,1,14,29,coat
02/17/2024,22:15,23,14,68%,0,9,21,coat
02/18/2024,07:04,21,13,70%,0,6,18,coat
02/18/2024,10:42,33,25,46%,3,9,20,coat
02/18/2024,13:30,43,37,31%,3,11,22,coat
02/18/2024,15:07,44,39,32%,2,11,23,coat
02/19/2024,09:30,37,35,50%,2,3,9,coat
02/19/2024,15:19,50,48,36%,2,3,8,coat
02/19/2024,17:42,45,43,49%,0,2,5,coat
02/19/2024,18:28,42,40,53%,0,2,4,coat
02/20/2024,00:19,32,30,68%,0,2,4,coat
02/20/2024,09:13,35,32,63%,1,3,9,coat
02/20/2024,10:34,41,38,53%,2,4,10,coat
02/21/2024,00:06,34,32,75%,0,3,4,coat
02/21/2024,13:12,51,49,44%,4,4,9,jacket-long
02/21/2024,14:59,53,51,40%,3,3,9,jacket-short
02/21/2024,14:44,54,52,40%,2,3,8,jacket-short
02/21/2024,15:21,55,52,39%,2,4,8,jacket-short
02/21/2024,20:36,42,40,67%,0,3,7,coat
02/21/2024,23:48,38,36,75%,0,2,4,coat
02/22/2024,00:07,37,36,75%,0,2,4,coat
02/22/2024,17:31,55,53,57%,0,9,20,coat
02/22/2024,23:28,47,44,82%,0,7,22,coat
02/24/2024,13:32,46,40,66%,2,11,24,coat
02/25/2024,09:18,30,27,64%,1,4,9,coat
02/25/2024,15:00,50,47,37%,2,6,13,jacket-long
02/25/2024,23:26,40,36,63%,0,5,11,coat
02/26/2024,08:35,45,43,66%,1,4,11,coat
02/26/2024,10:30,55,53,53%,3,7,16,jacket-long
02/26/2024,13:47,63,61,48%,3,10,22,jacket-long
02/26/2024,15:08,60,59,58%,2,9,21,coat
02/26/2024,15:57,59,58,60%,1,9,19,coat
02/26/2024,17:20,56,54,68%,0,8,17,coat
02/26/2024,17:28,55,54,68%,0,7,17,coat
02/26/2024,18:06,54,52,70%,0,6,17,coat
02/27/2024,08:33,48,46,71%,1,5,18,coat
02/27/2024,09:13,50,47,71%,1,7,23,coat
02/27/2024,09:59,51,50,73%,2,10,27,coat
02/27/2024,18:50,53,53,90%,0,7,21,coat
02/27/2024,22:57,55,54,88%,0,7,18,coat
02/28/2024,13:55,63,63,77%,3,13,32,jacket-long
02/28/2024,20:14,39,30,56%,0,16,38,coat
02/28/2024,23:57,31,22,57%,0,11,28,coat
02/29/2024,08:29,28,20,55%,0,9,25,coat
02/29/2024,12:42,41,35,39%,4,9,19,coat
03/01/2024,00:02,31,29,67%,0,2,3,coat
03/01/2024,09:34,40,36,51%,2,6,15,coat
03/01/2024,13:10,46,42,47%,3,9,18,coat
03/02/2024,00:43,38,35,94%,0,5,12,coat
03/02/2024,11:40,51,50,80%,4,3,8,coat
03/02/2024,13:31,57,56,71%,4,5,12,jacket-short
03/02/2024,14:17,58,57,71%,4,4,11,jacket-short
03/02/2024,14:43,58,57,71%,3,5,11,jacket-short
03/02/2024,15:42,59,58,71%,2,4,8,jacket-short
03/02/2024,17:45,57,56,75%,0,2,4,jacket-long
03/02/2024,21:41,49,48,83%,0,2,4,coat
03/02/2024,23:48,46,45,86%,0,2,3,coat
03/03/2024,01:00,47,46,86%,0,2,3,coat
03/03/2024,13:15,63,62,63%,4,4,11,jacket-short
03/03/2024,14:16,63,62,58%,4,7,12,none
03/03/2024,15:14,65,63,55%,3,7,12,none
03/03/2024,17:08,61,60,64%,0,6,11,jacket-short
03/03/2024,18:38,56,55,77%,0,5,11,jacket-long
03/03/2024,21:58,50,49,85%,0,3,5,coat
03/04/2024,18:19,58,57,68%,0,5,11,jacket-long
03/05/2024,14:31,70,69,48%,4,4,7,none
03/05/2024,17:07,66,65,58%,0,7,12,jacket-short
03/05/2024,22:29,56,55,78%,0,3,8,jacket-long
03/06/2024,15:10,55,54,88%,2,5,11,jacket-long
03/08/2024,16:08,54,53,71%,5,9,17,coat
03/09/2024,14:33,49,47,90%,3,3,9,coat
03/10/2024,00:17,42,35,86%,0,13,32,coat
03/10/2024,23:01,33,22,55%,0,18,47,coat
03/11/2024,08:38,30,20,56%,0,13,36,coat
03/11/2024,15:18,50,48,30%,4,11,23,coat
03/11/2024,18:40,49,45,34%,0,8,19,coat
03/12/2024,08:15,34,29,64%,0,6,13,coat
03/12/2024,19:02,57,55,42%,0,4,9,jacket-long
03/12/2024,22:02,49,47,49%,0,4,9,coat
03/12/2024,22:36,49,47,52%,0,4,8,coat
03/13/2024,07:49,37,34,73%,0,4,7,coat
03/13/2024,12:15,60,58,36%,4,4,12,jacket-long
03/13/2024,14:35,67,64,29%,4,5,14,none
03/14/2024,20:42,60,58,49%,3,3,8,jacket-short
03/14/2024,12:28,65,63,46%,5,4,9,jacket-short
03/14/2024,16:27,74,72,36%,3,8,16,none
03/14/2024,16:59,73,71,37%,2,8,16,none
03/14/2024,18:04,71,69,41%,1,8,16,jacket-short
03/14/2024,20:47,62,60,49%,0,7,16,jacket-long
03/15/2024,17:07,65,65,69%,2,10,21,coat
03/16/2024,12:20,58,56,43%,5,6,13,jacket-long
03/16/2024,14:10,63,61,33%,6,7,14,jacket-short
03/16/2024,14:54,64,62,30%,5,7,14,jacket-short
03/18/2024,15:12,45,38,38%,3,12,26,coat
03/18/2024,16:54,42,36,40%,1,13,26,coat
03/18/2024,17:43,40,33,46%,1,13,26,coat
03/19/2024,08:43,27,17,60%,1,11,26,coat
03/19/2024,15:00,47,42,31%,5,12,26,coat
03/19/2024,16:18,50,46,29%,3,13,17,jacket-long
03/19/2024,20:42,43,37,42%,0,10,28,coat
03/20/2024,11:19,53,51,42%,4,14,34,coat
03/20/2024,11:39,55,53,39%,4,14,36,jacket-long
03/20/2024,16:29,60,58,34%,2,18,45,jacket-long
03/21/2024,15:30,55,53,26%,3,8,16,jacket-long
03/21/2024,16:48,56,54,27%,2,8,17,jacket-long
03/21/2024,17:53,56,53,28%,1,7,15,jacket-long
03/21/2024,23:31,44,42,51%,0,3,5,coat
03/22/2024,12:38,56,54,54%,4,9,19,jacket-long
03/22/2024,16:03,59,58,58%,3,10,22,jacket-long
03/23/2024,23:05,34,28,67%,0,7,19,coat
03/24/2024,07:42,26,25,76%,0,2,6,coat
03/24/2024,15:53,53,50,34%,4,8,14,jacket-long
03/26/2024,08:41,40,36,70%,1,7,18,coat
03/27/2024,08:56,44,43,95%,1,2,4,coat
03/27/2024,13:26,54,53,80%,4,2,4,jacket-long
03/27/2024,13:57,54,53,80%,5,2,5,jacket-short
03/27/2024,14:42,55,54,77%,4,2,6,jacket-short
03/27/2024,17:46,59,58,71%,1,5,9,jacket-long
03/29/2024,18:43,59,57,40%,0,14,32,jacket-short
03/30/2024,12:50,64,62,32%,4,12,25,jacket-short
04/01/2024,17:25,73,75,72%,2,3,8,none
04/01/2024,18:55,68,69,78%,0,6,14,jacket-short
04/02/2024,10:59,55,55,88%,3,3,8,jacket-long
04/02/2024,17:01,67,67,81%,2,7,18,jacket-long
04/02/2024,20:36,59,60,99%,0,5,11,jacket-long
04/04/2024,12:48,52,50,52%,3,11,25,jacket-long
04/04/2024,15:11,55,53,45%,3,14,27,jacket-long
04/04/2024,16:56,54,52,44%,1,13,27,jacket-long
04/04/2024,22:43,43,39,62%,0,6,16,coat
04/06/2024,09:02,44,39,53%,1,10,25,coat
04/06/2024,10:45,51,48,45%,4,12,25,coat
